,Title,Published_date,Views,Likes,Comments,Month
0,The Essential Programming Concepts For Learning Data Science,2022-11-14,5244,284,26,Nov
1,The Data Content House: What You Missed,2022-10-07,8681,300,55,Oct
2,Is Data Science A Good Career?,2022-09-29,37881,1286,103,Sep
3,IRON ANALYST (Teaser) #shorts,2022-09-27,3595,235,21,Sep
4,When a New Data Scientist Joins The Team,2022-08-29,14456,658,125,Aug
5,State of Data Science - Web Data,2022-08-05,10026,354,33,Aug
6,Data Science Town Hall - State of Data Science,2022-08-04,9658,374,38,Aug
7,The Programming Roadmap For Data Science,2022-07-29,11933,674,51,Jul
8,5 Impactful Data Science Projects For Your Portfolio,2022-06-27,32895,1595,85,Jun
9,Machine Learning Saves My Baseball Career?,2022-06-10,6829,321,68,Jun
10,Every Data Scientist... (funny!),2022-05-24,13860,782,143,May
11,State of Data Science (Town Hall) ft - Data Squad,2022-05-07,15806,427,65,May
12,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,36924,1079,82,Apr
13,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25,17035,739,105,Mar
14,Can Data Defeat This Deceitful OpenSea NFT Scam?,2022-03-03,4440,183,51,Mar
15,When a PM Joins the Data Team... (funny!) - Ft @Luke Barousse,2022-02-21,10148,480,144,Feb
16,What Professional Data Scientists ACTUALLY Do,2022-02-14,81967,2854,178,Feb
17,Can You Analyze My Data Better Than I Can?,2022-01-31,6325,304,62,Jan
18,Giving Back to My Most Engaged Subscribers!,2022-01-28,2239,117,89,Jan
19,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,14300,598,90,Jan
20,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,8373,418,85,Jan
21,Should  @Luke Barousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14,7453,213,32,Jan
22,The Only Data Science Explanation You Need,2022-01-10,29675,1665,159,Jan
23,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,13988,639,144,Jan
24,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,300212,13530,501,Dec
25,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17,8288,346,58,Dec
26,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10,6744,474,22,Dec
27,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03,22669,1109,152,Dec
28,Why Is Data Engineering So HOT Right Now?,2021-11-26,27853,1058,141,Nov
29,Is Data Science Dying?,2021-11-19,106891,3456,336,Nov
30,7 Incredible Books That Transformed My Health and My Life,2021-11-12,7621,381,112,Nov
31,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,3555,198,48,Nov
32,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,9546,250,33,Oct
33,ML Ops: What is it REALLY?,2021-10-22,5241,236,61,Oct
34,Business Skills for Data Science: What are they REALLY?,2021-10-18,6361,285,50,Oct
35,#66DaysOfData Round 3 Live Event! (feat. @StatQuest with Josh Starmer),2021-10-12,2183,123,5,Oct
36,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,5457,270,67,Oct
37,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,11898,514,112,Aug
38,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,8471,338,32,Aug
39,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,33820,1258,29,Aug
40,How I Learned to Learn.,2021-07-31,44440,2139,201,Jul
41,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,8850,497,50,Jul
42,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2353,93,30,Jul
43,Why are APIs Important for Data Science?,2021-07-09,8574,419,95,Jul
44,Is Your Phone REALLY Listening to You?,2021-07-03,4915,275,118,Jul
45,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,11991,523,121,Jun
46,#66DaysOfData - 3 Reasons to Start!,2021-06-18,3873,210,38,Jun
47,#66DaysOfData - What is it? #shorts,2021-06-11,7994,346,54,Jun
48,A Quick Data Science Project Tip! #SHORTS,2021-06-03,14682,828,89,Jun
49,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7276,386,199,May
50,How Data Science Projects Pay Off,2021-05-22,10007,576,146,May
51,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,10112,470,136,May
52,What is a lambda function (python)? #shorts,2021-05-13,11389,717,47,May
53,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,19075,902,57,May
54,What is Pandas? (Data & Data Science) #shorts,2021-04-30,18637,840,88,Apr
55,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,69922,3137,280,Apr
56,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,22552,660,90,Apr
57,Why You Probably Won't Become a Data Scientist,2021-04-09,127828,3737,481,Apr
58,How to Go From Data Analyst to Data Scientist,2021-04-02,49099,1398,175,Apr
59,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,3834,138,89,Mar
60,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,15756,329,106,Mar
61,My Regrets as a Data Science Student,2021-03-12,22913,843,112,Mar
